figure,panel,outcome_id,outcome_label,participant_id,rate,co_me_mean_mm,height_cm,n_observations,n_sequences,speaker_mean,outcome_unit,rate_label,sequence_scope,descriptive_summary
Figure 1,B,log_articulationrate,Articulation rate,sub-159,normal,118.04000000000001,162,120,6,2.946779755108333,syllables/s,Habitual,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,B,log_articulationrate,Articulation rate,sub-182,fast,117.925,175,120,6,4.8809222961750001,syllables/s,Maximally fast,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,B,log_articulationrate,Articulation rate,sub-182,normal,117.925,175,119,6,2.9888246024201677,syllables/s,Habitual,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,B,log_articulationrate,Articulation rate,sub-189,fast,118.655,181,120,6,5.3053692513500001,syllables/s,Maximally fast,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,B,log_articulationrate,Articulation rate,sub-189,normal,118.655,181,120,6,4.2116070520583335,syllables/s,Habitual,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,B,log_articulationrate,Articulation rate,sub-191,fast,102.36499999999999,160,120,6,4.5187327854416672,syllables/s,Maximally fast,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,B,log_articulationrate,Articulation rate,sub-191,normal,102.36499999999999,160,120,6,3.2158970922833334,syllables/s,Habitual,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,B,log_articulationrate,Articulation rate,sub-246,fast,102,175,120,6,5.6087570047583331,syllables/s,Maximally fast,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,B,log_articulationrate,Articulation rate,sub-246,normal,102,175,120,6,4.2211457872166669,syllables/s,Habitual,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,B,log_articulationrate,Articulation rate,sub-306,normal,103.88500000000001,166,118,6,4.763829057372881,syllables/s,Habitual,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,B,log_articulationrate,Articulation rate,sub-401,fast,133.38999999999999,181,59,6,4.6457522272711866,syllables/s,Maximally fast,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,B,log_articulationrate,Articulation rate,sub-401,normal,133.38999999999999,181,119,6,3.6175202743949577,syllables/s,Habitual,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,B,log_articulationrate,Articulation rate,sub-471,fast,132.27000000000001,187,120,6,5.1240634789916673,syllables/s,Maximally fast,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,B,log_articulationrate,Articulation rate,sub-471,normal,132.27000000000001,187,120,6,3.6507993089833333,syllables/s,Habitual,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,B,log_articulationrate,Articulation rate,sub-586,fast,110.315,177,120,6,5.796523890025,syllables/s,Maximally fast,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,B,log_articulationrate,Articulation rate,sub-586,normal,110.315,177,120,6,3.2638309116166666,syllables/s,Habitual,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,B,log_articulationrate,Articulation rate,sub-612,fast,101.13500000000001,167,120,6,5.5187517851666668,syllables/s,Maximally fast,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,B,log_articulationrate,Articulation rate,sub-612,normal,101.13500000000001,167,120,6,3.5100085784666666,syllables/s,Habitual,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,B,log_articulationrate,Articulation rate,sub-613,fast,110.43000000000001,182,120,6,4.2853271519916669,syllables/s,Maximally fast,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,B,log_articulationrate,Articulation rate,sub-613,normal,110.43000000000001,182,120,6,2.9897588374916664,syllables/s,Habitual,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,B,log_articulationrate,Articulation rate,sub-647,fast,106.995,160,120,6,3.9575180736416664,syllables/s,Maximally fast,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,B,log_articulationrate,Articulation rate,sub-647,normal,106.995,160,120,6,2.1004300697000002,syllables/s,Habitual,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
Figure 1,B,log_articulationrate,Articulation rate,sub-652,fast,92.739999999999995,160,120,6,4.6443493435833334,syllables/s,Maximally fast,six sequences shared by both instructed-rate conditions,arithmetic mean across available trials within speaker and rate
