figure,panel,outcome_id,outcome_label,participant_id,rate,co_me_mean_mm,height_cm,n_observations,n_sequences,speaker_mean,outcome_unit,rate_label,sequence_scope,descriptive_summary
Figure 2,B,jaw_open_amp_median_mm,Scalar jaw-opening excursion,sub-875,normal,121.37,158,105,9,1.3923963639870456,mm,Habitual,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,B,jaw_open_amp_median_mm,Scalar jaw-opening excursion,sub-891,fast,121.755,173,102,6,1.2839036738775584,mm,Maximally fast,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,B,jaw_open_amp_median_mm,Scalar jaw-opening excursion,sub-891,normal,121.755,173,80,9,0.94027434217613681,mm,Habitual,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,B,jaw_open_amp_median_mm,Scalar jaw-opening excursion,sub-987,fast,111.06999999999999,170,77,6,5.3490449795242743,mm,Maximally fast,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,B,jaw_open_amp_median_mm,Scalar jaw-opening excursion,sub-987,normal,111.06999999999999,170,111,9,3.638832032686877,mm,Habitual,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,B,jaw_open_amp_median_mm,Scalar jaw-opening excursion,sub-989,fast,128.51999999999998,163,51,6,1.6903815075728854,mm,Maximally fast,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,B,jaw_open_amp_median_mm,Scalar jaw-opening excursion,sub-989,normal,128.51999999999998,163,42,8,1.6342030009945332,mm,Habitual,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,C,audio_mod_dom_hz,Dominant envelope modulation,sub-055,fast,96.784999999999997,160,120,6,5.34375,Hz,Maximally fast,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,C,audio_mod_dom_hz,Dominant envelope modulation,sub-055,normal,96.784999999999997,160,180,9,3.0304149594598262,Hz,Habitual,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,C,audio_mod_dom_hz,Dominant envelope modulation,sub-105,normal,112.035,173,40,9,3.3352702529076281,Hz,Habitual,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,C,audio_mod_dom_hz,Dominant envelope modulation,sub-125,fast,101,171,120,6,5.0187499999999998,Hz,Maximally fast,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,C,audio_mod_dom_hz,Dominant envelope modulation,sub-125,normal,101,171,180,9,3.2362021204230187,Hz,Habitual,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,C,audio_mod_dom_hz,Dominant envelope modulation,sub-159,fast,118.04000000000001,162,80,6,4.1312499999999996,Hz,Maximally fast,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,C,audio_mod_dom_hz,Dominant envelope modulation,sub-159,normal,118.04000000000001,162,180,9,2.6232051058014205,Hz,Habitual,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,C,audio_mod_dom_hz,Dominant envelope modulation,sub-191,fast,102.36499999999999,160,120,6,5.0583333333333336,Hz,Maximally fast,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,C,audio_mod_dom_hz,Dominant envelope modulation,sub-191,normal,102.36499999999999,160,180,9,2.7340893744642916,Hz,Habitual,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,C,audio_mod_dom_hz,Dominant envelope modulation,sub-246,fast,102,175,120,6,6.2145833333333336,Hz,Maximally fast,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,C,audio_mod_dom_hz,Dominant envelope modulation,sub-246,normal,102,175,180,9,3.8586710678606893,Hz,Habitual,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,C,audio_mod_dom_hz,Dominant envelope modulation,sub-401,fast,133.38999999999999,181,60,6,5.1833333333333336,Hz,Maximally fast,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,C,audio_mod_dom_hz,Dominant envelope modulation,sub-401,normal,133.38999999999999,181,180,9,3.0785157587921383,Hz,Habitual,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,C,audio_mod_dom_hz,Dominant envelope modulation,sub-471,fast,132.27000000000001,187,111,6,5.083333333333333,Hz,Maximally fast,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,C,audio_mod_dom_hz,Dominant envelope modulation,sub-471,normal,132.27000000000001,187,160,9,2.9677589350400884,Hz,Habitual,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,C,audio_mod_dom_hz,Dominant envelope modulation,sub-586,fast,110.315,177,120,6,5.7437500000000004,Hz,Maximally fast,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,C,audio_mod_dom_hz,Dominant envelope modulation,sub-586,normal,110.315,177,180,9,3.0148326034888102,Hz,Habitual,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,C,audio_mod_dom_hz,Dominant envelope modulation,sub-612,fast,101.13500000000001,167,100,6,5.410131578947369,Hz,Maximally fast,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,C,audio_mod_dom_hz,Dominant envelope modulation,sub-612,normal,101.13500000000001,167,180,9,2.8358226839980558,Hz,Habitual,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,C,audio_mod_dom_hz,Dominant envelope modulation,sub-613,fast,110.43000000000001,182,2,2,6.8985849056603765,Hz,Maximally fast,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,C,audio_mod_dom_hz,Dominant envelope modulation,sub-647,fast,106.995,160,120,6,4.0229166666666663,Hz,Maximally fast,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,C,audio_mod_dom_hz,Dominant envelope modulation,sub-647,normal,106.995,160,180,9,2.3168883855053686,Hz,Habitual,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,C,audio_mod_dom_hz,Dominant envelope modulation,sub-652,normal,92.739999999999995,160,159,9,3.1071948566652297,Hz,Habitual,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,C,audio_mod_dom_hz,Dominant envelope modulation,sub-705,fast,122.31,168,120,6,4.7999999999999998,Hz,Maximally fast,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,C,audio_mod_dom_hz,Dominant envelope modulation,sub-705,normal,122.31,168,180,9,2.4507574980673033,Hz,Habitual,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,C,audio_mod_dom_hz,Dominant envelope modulation,sub-726,fast,112.13,184,100,6,6.0449777128698976,Hz,Maximally fast,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,C,audio_mod_dom_hz,Dominant envelope modulation,sub-726,normal,112.13,184,180,9,3.5448414815545042,Hz,Habitual,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,C,audio_mod_dom_hz,Dominant envelope modulation,sub-779,fast,100.66,162,120,6,5.802083333333333,Hz,Maximally fast,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
